comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
biomass,2,12,0.8499206964048058,7.95723182671655,0.9737782135575663,0.00012697064601962285,0.052215176827364804,0.3874007015935751,inf,0.001486883982794384,0.015080988650570141,0.9834321273666354,biomass_02,PFT12,SapAB,pft,MLPRegressor
biomass,2,13,0.5589869987998268,11.22518265808344,0.5249030141512011,0.00037310744602383507,0.037671308193820134,0.6640880974691332,inf,0.0010411414412328972,0.20372611012430725,0.7952327484344599,biomass_02,PFT13,SapAB,pft,XGBRegressor
biomass,2,14,-0.9091111313911842,2.1983919246317307,1.1498891791532309,0.0016151532414477021,0.054056880622203075,1.3817058773093442,inf,0.017747824700873948,0.3201998511837992,0.6620523241153269,biomass_02,PFT14,SapAB,pft,MLPRegressor
biomass,2,15,0.48188377506011304,0.2015175075850104,0.7975298241636297,0.0004383385997799382,0.045295745739253615,0.719802907009889,528.4496157260382,0.0009745476825459966,0.005802884889667399,0.9932225674277867,biomass_02,PFT15,SapAB,pft,BaggingRegressor
biomass,3,2,0.9861585817279113,5.107125226532323,0.9902349886141334,1.1710167742883827e-05,0.02241331218856131,0.11764955704161698,inf,0.004255711586932741,0.000598369679056797,0.9951459187340105,biomass_03,PFT02,SapBE,pft,XGBRegressor
biomass,3,3,0.9442374473314039,6.443701047818358,0.9488080067187359,4.717644049796625e-05,0.034138681896745286,0.2361409593200555,inf,0.0009073835966426265,0.010000635659332378,0.989091980744025,biomass_03,PFT03,SapBE,pft,MLPRegressor
biomass,3,4,0.9632041117939192,4.001053035899076,0.9616106812163505,3.113019306775025e-05,0.03772350659009618,0.1918225435293798,inf,0.00031766296486907686,0.01109067100081492,0.9885916660343161,biomass_03,PFT04,SapBE,pft,BaggingRegressor
biomass,3,5,0.9892792755663583,2.9890895650511564,1.0063071604340568,9.069986830492123e-06,0.013889447396860495,0.10354093119941354,inf,1.1753445067188061e-05,0.01255177492050601,0.9874364716344268,biomass_03,PFT05,SapBE,pft,XGBRegressor
biomass,3,6,0.9820779360816025,5.234888603728091,0.9851586306117782,1.5162490624701778e-05,0.029083868976652365,0.13387331294323565,inf,9.205795507274264e-05,0.0019413498803727252,0.9979665921645545,biomass_03,PFT06,SapBE,pft,XGBRegressor
biomass,3,7,0.928888270211842,3.269109183086021,0.8935304357374411,6.016220794260412e-05,0.04387241708466277,0.2666678266836066,inf,0.001221957087562447,0.07632205305755625,0.9224559898548813,biomass_03,PFT07,SapBE,pft,MLPRegressor
biomass,3,8,0.9673966218311049,1.9061744237638847,1.007858912420412,2.758323026133263e-05,0.03039304087008411,0.18056405558387076,inf,0.002073917549042251,0.017435850738240784,0.980490231712717,biomass_03,PFT08,SapBE,pft,XGBRegressor
biomass,3,9,-0.1568227142204246,0.9470973502237725,1.0867338112600884e-31,0.021033140258553174,0.25347119282997316,1.0755569321149043,0.9143436122721095,0.13556330826898255,0.8644366917310169,4.950863790128402e-16,biomass_03,PFT09,SapBE,pft,NoneType
biomass,3,10,1.0,0.0,1.0,,,,,,,,biomass_03,PFT10,SapBE,pft,NoneType
biomass,3,11,1.0,0.0,1.0,,,,,,,,biomass_03,PFT11,SapBE,pft,NoneType
biomass,3,12,1.0,0.0,1.0,,,,,,,,biomass_03,PFT12,SapBE,pft,NoneType
biomass,3,13,1.0,0.0,1.0,,,,,,,,biomass_03,PFT13,SapBE,pft,NoneType
biomass,3,14,1.0,0.0,1.0,,,,,,,,biomass_03,PFT14,SapBE,pft,NoneType
biomass,3,15,1.0,0.0,1.0,,,,,,,,biomass_03,PFT15,SapBE,pft,NoneType
biomass,4,2,0.9585938601076488,507.3384070019586,0.9571505282961619,3.503057520503482e-05,0.03726181068694635,0.20348498689670244,inf,0.0008862721981750127,0.012135314848318375,0.9869784129535066,biomass_04,PFT02,HeartAB,pft,XGBRegressor
biomass,4,3,0.9652550652466012,282.5566655467991,0.9753047601143107,2.9395037862435496e-05,0.025321315041281156,0.18639993227841783,inf,0.0009935519530998324,0.0015621040139868188,0.9974443440329134,biomass_04,PFT03,HeartAB,pft,XGBRegressor
biomass,4,4,0.9361674121411211,403.8388213616738,0.9535004107022083,5.400388143729177e-05,0.04772919323470821,0.252651118855387,inf,1.3167706874522664e-05,0.003381411075405383,0.9966054212177201,biomass_04,PFT04,HeartAB,pft,XGBRegressor
biomass,4,5,0.9748097706962708,351.9826544315365,0.9721662983814219,2.13115307138149e-05,0.020651185014381762,0.1587143008796914,inf,0.0034792963065803,0.009415989787731173,0.9871047139056884,biomass_04,PFT05,HeartAB,pft,BaggingRegressor
biomass,4,6,0.8662216736045247,1043.5625272287316,0.9725431170649511,0.00011317963316030055,0.07181452010444371,0.3657571959585693,inf,0.0073282793148142025,0.010914760301495177,0.9817569603836908,biomass_04,PFT06,HeartAB,pft,XGBRegressor
biomass,4,7,0.8240093100852888,656.9559434534899,0.714294815314608,0.00014889229265203997,0.057164347783193036,0.41951244309878494,inf,0.028857955082709424,0.2895143488660236,0.6816276960512669,biomass_04,PFT07,HeartAB,pft,XGBRegressor
biomass,4,8,0.845502998689003,462.47797992929776,0.8414017069679376,0.00013070812293654565,0.057470921332187605,0.3930610656259368,inf,0.009630589922114048,0.047618178709955626,0.9427512313679303,biomass_04,PFT08,HeartAB,pft,XGBRegressor
biomass,4,9,-0.019086691015721247,146.2971447540494,-1.1748607957716583e-31,0.01852884892755857,0.23923714424060155,1.009498237252409,1.3278674130536847,0.01872921232706656,0.9812707876729319,1.5297870275743978e-15,biomass_04,PFT09,HeartAB,pft,NoneType
biomass,4,10,1.0,0.0,1.0,,,,,,,,biomass_04,PFT10,HeartAB,pft,NoneType
biomass,4,11,1.0,0.0,1.0,,,,,,,,biomass_04,PFT11,HeartAB,pft,NoneType
biomass,4,12,1.0,0.0,1.0,,,,,,,,biomass_04,PFT12,HeartAB,pft,NoneType
biomass,4,13,1.0,0.0,1.0,,,,,,,,biomass_04,PFT13,HeartAB,pft,NoneType
biomass,4,14,1.0,0.0,1.0,,,,,,,,biomass_04,PFT14,HeartAB,pft,NoneType
biomass,4,15,1.0,0.0,1.0,,,,,,,,biomass_04,PFT15,HeartAB,pft,NoneType
biomass,5,2,0.9620074427717294,123.0333415075003,0.9617754924123305,3.2142603408012275e-05,0.035728610368541365,0.19491679565463443,inf,0.0010495413201096454,0.009944040807367034,0.9890064178725233,biomass_05,PFT02,HeartBE,pft,BaggingRegressor
biomass,5,3,0.9696702371646678,66.89323741116337,0.981967634195804,2.565969783023023e-05,0.02373936787998758,0.17415442238235618,inf,0.00166467819509263,0.0002766976848896456,0.9980586241200179,biomass_05,PFT03,HeartBE,pft,XGBRegressor
