comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
som,3,14,0.9999406075521199,0.7918362030482413,1.000853071126898,4.4289670305860906e-08,0.0005721217289243997,0.0077066495885150695,inf,0.0010456865469251953,0.013108337990655021,0.9858459754624198,carbon_14,PFT14,Slow,asp,XGBRegressor
som,3,15,0.9999962862853712,0.4405890792916321,0.9998617697109008,2.7693621392991423e-09,0.0006080973981554777,0.0019271000567692767,0.0009921613843851095,6.846336548213028e-05,0.005008538916587997,0.9949229977179298,carbon_15,PFT15,Slow,asp,BaggingRegressor
biomass,1,2,0.9999999033141475,0.03485823765612548,1.0000253670951718,7.209981551149342e-11,7.60998553160574e-05,0.00031094348779305974,inf,0.000599069430329535,0.006680673417812376,0.992720257151858,biomass_01,PFT02,Leaf,pft,BaggingRegressor
biomass,1,3,0.999250587402394,0.9752012063364097,0.9961843938113825,5.588460832259044e-07,0.005063176626824275,0.027375401323194107,inf,0.0006941663960570207,0.0158557610033828,0.9834500726005602,biomass_01,PFT03,Leaf,pft,BaggingRegressor
biomass,1,4,0.9999996205712846,0.0487372160318597,0.9999905188423484,2.8294460510581005e-10,9.52059119527657e-05,0.0006159778530490292,inf,0.00017572658627698808,0.00022753243641665378,0.9995967409773064,biomass_01,PFT04,Leaf,pft,XGBRegressor
biomass,1,5,0.9999992266359514,0.04092437290804821,1.000148131752796,5.767069713271575e-10,0.0002042298952426091,0.0008794111942372114,inf,0.0022299565844605615,0.02851722171347357,0.9692528217020658,biomass_01,PFT05,Leaf,pft,XGBRegressor
biomass,1,6,0.999998985651794,0.01964913368495591,0.9999581301935887,7.564117867516637e-10,0.00010220719615163621,0.0010071485521182966,inf,0.000175136951641209,0.0016867437233437955,0.9981381193250151,biomass_01,PFT06,Leaf,pft,BaggingRegressor
biomass,1,7,0.999982739519659,0.43427808073441476,1.000320801924373,1.2871349993297869e-08,0.0011495866337499921,0.004154573424674601,0.026050154190268564,0.0019240190185853146,0.0062848123113698655,0.9917911686700449,biomass_01,PFT07,Leaf,pft,XGBRegressor
biomass,1,8,1.0,5.554197392346683e-14,1.0000000000001446,1.5633234938974542e-29,3.952414078213072e-15,1.447900827168935e-13,inf,0.0007457121551081283,0.9988904197097691,0.00036386813512278475,biomass_01,PFT08,Leaf,pft,BaggingRegressor
biomass,1,9,1.0,0.0,1.0,,,,,,,,biomass_01,PFT09,Leaf,pft,NoneType
biomass,1,10,0.9999867312305544,0.023262762243662846,0.9999641880246751,9.894682658919595e-09,0.00025766949409663045,0.0036426322138820412,inf,2.048753556456008e-06,6.416250059479753e-05,0.9999337887458488,biomass_01,PFT10,Leaf,pft,BaggingRegressor
biomass,1,11,0.9999860292560886,0.06974318626177886,0.9997176749428386,1.041815355066342e-08,0.0008792787742447963,0.0037377458329104787,inf,0.00026013683400933214,0.005428044851213451,0.9943118183147772,biomass_01,PFT11,Leaf,pft,XGBRegressor
biomass,1,12,0.9999992201831062,0.008901114747476352,0.9999339677780463,5.81518936506661e-10,9.101259110199625e-05,0.000883072417107132,inf,0.00016423563834392347,0.005525918500112697,0.9943098458615434,biomass_01,PFT12,Leaf,pft,BaggingRegressor
biomass,1,13,0.9999999999974979,9.310082320152528e-06,0.9999996688561149,1.8658250879930186e-15,8.99332279139405e-08,1.5817937422428494e-06,inf,0.0004128142450055858,0.04382587413002565,0.9557613116249687,biomass_01,PFT13,Leaf,pft,XGBRegressor
biomass,1,14,0.9999960929548709,0.005665791213857572,0.9999902817840427,2.9135310433151902e-09,7.862076155291284e-05,0.001976624680885491,inf,0.0007369900726040475,1.5437060494745272e-05,0.9992475728669011,biomass_01,PFT14,Leaf,pft,XGBRegressor
biomass,1,15,0.9966376795033075,0.042907453308891896,0.9990105555435905,2.5073232637528123e-06,0.003578714950319267,0.05798551971563695,3.9872070962098745,6.463283799117852e-05,0.00014216072020990997,0.9997932064417988,biomass_01,PFT15,Leaf,pft,XGBRegressor
biomass,2,2,0.9999862710338504,0.6092650127144049,0.9998135791634059,1.0237856934790675e-08,0.0006748149066117604,0.003705261954242142,inf,0.0005806890412109605,0.002348880891144669,0.9970704300676444,biomass_02,PFT02,SapAB,pft,XGBRegressor
biomass,2,3,0.9999998841551173,0.0384265457620955,0.9999603888100987,8.638693716105188e-11,5.1368057704822176e-05,0.0003403599311507901,inf,0.0001829088078970153,0.013505332740808956,0.9863117584512939,biomass_02,PFT03,SapAB,pft,BaggingRegressor
biomass,2,4,0.9999523011511449,0.33798752770073187,1.0011667223054925,3.556961137590037e-08,0.0009847555952331452,0.0069064353218634,inf,0.0007422892191054692,0.029680671923476256,0.9695770388574183,biomass_02,PFT04,SapAB,pft,XGBRegressor
biomass,2,5,0.9999843177657194,0.456352877936411,0.9999078844586989,1.169443272233676e-08,0.0005041182698827234,0.0039600800851313095,inf,1.1511699678370553e-10,0.0004529186999664797,0.9995470811849166,biomass_02,PFT05,SapAB,pft,XGBRegressor
biomass,2,6,0.9999997875196815,0.05398799175946374,0.9999958428127874,1.5844915617415415e-10,6.667590456468667e-05,0.00046095587470986935,inf,0.00017059352488158568,7.723249616322235e-05,0.9997521739789552,biomass_02,PFT06,SapAB,pft,BaggingRegressor
biomass,2,7,0.9999944189084742,0.11280274406182933,1.0000122049599267,4.161887789571156e-09,0.00045890439774497107,0.0023624333907678583,0.030468025581188697,0.00018873088447781487,4.028710571915508e-05,0.9997709820098031,biomass_02,PFT07,SapAB,pft,BaggingRegressor
biomass,2,8,0.99999597190523,0.09121358085247974,0.9999851569578172,3.0037992318771114e-09,0.00036553276266600236,0.002007011402545388,0.005162667149351945,0.000287701336886642,4.0863012529060056e-05,0.9996714356505844,biomass_02,PFT08,SapAB,pft,BaggingRegressor
